ID,Temperature,L,R,A_M,Color,Spectral_Class
0,3068,0.0024,0.17,16.12,Red,M
1,3042,0.0005,0.1542,16.6,Red,M
2,2600,0.0003,0.102,18.7,Red,M
3,2800,0.0002,0.16,16.65,Red,M
4,1939,0.000138,0.103,20.06,Red,M
5,2840,0.00065,0.11,16.98,Red,M
6,2637,0.00073,0.127,17.22,Red,M
7,2600,0.0004,0.096,17.4,Red,M
8,2650,0.00069,0.11,17.45,Red,M
9,2700,0.00018,0.13,16.05,Red,M
10,3600,0.0029,0.51,10.69,Red,M
11,3129,0.0122,0.3761,11.79,Red,M
12,3134,0.0004,0.196,13.21,Red,M
13,3628,0.0055,0.393,10.48,Red,M
14,2650,0.0006,0.14,11.782,Red,M
15,3340,0.0038,0.24,13.07,Red,M
16,2799,0.0018,0.16,14.79,Red,M
17,3692,0.00367,0.47,10.8,Red,M
18,3192,0.00362,0.1967,13.53,Red,M
19,3441,0.039,0.351,11.18,Red,M
20,25000,0.056,0.0084,10.58,Blue White,B
21,7740,0.00049,0.01234,14.02,White,A
22,7220,0.00017,0.011,14.23,White,F
23,8500,0.0005,0.01,14.5,White,A
24,16500,0.013,0.014,11.89,Blue White,B
25,12990,0.000085,0.00984,12.23,Yellowish White,F
26,8570,0.00081,0.0097,14.2,Blue white,A
27,7700,0.00011,0.0128,14.47,Yellowish White,F
28,11790,0.00015,0.011,12.59,Yellowish White,F
29,7230,0.00008,0.013,14.08,Pale yellow orange,F
30,39000,204000,10.6,-4.7,Blue,O
31,30000,28840,6.3,-4.2,Blue-white,B
32,15276,1136,7.2,-1.97,Blue-white,B
33,9700,74,2.89,0.16,Whitish,B
34,5800,0.81,0.9,5.05,yellow-white,F
35,8052,8.7,1.8,2.42,Whitish,A
36,6757,1.43,1.12,2.41,yellow-white,F
37,6380,1.35,0.98,2.93,yellow-white,F
38,5936,1.357,1.106,4.46,yellow-white,F
39,5587,0.819,0.99,5.03,yellow-white,F
40,3826,200000,19,-6.93,Red,M
41,3365,340000,23,-6.2,Red,M
42,3270,150000,88,-6.02,Red,M
43,3200,195000,17,-7.22,Red,M
44,3008,280000,25,-6,Red,M
45,3600,320000,29,-6.6,Red,M
46,3575,123000,45,-6.78,Red,M
47,3574,200000,89,-5.24,Red,M
48,3625,184000,84,-6.74,Red,M
49,33750,220000,26,-6.1,Blue,B
50,3490,270000,1520,-9.4,Red,M
51,3750,283000,1260,-7.63,Red,M
52,3834,272000,1183,-9.2,Red,M
53,3749,550000,1648,-8.05,Orange,M
54,3650,310000,1324,-7.79,Red,M
55,3450,263000,1349,-11.75,Red,M
56,3660,363000,1673,-11.92,Red,M
57,3450,174000,1284,-11.28,Red,M
58,3752,209000,955,-11.24,Red,M
59,3535,195000,1546,-11.36,Red,M
60,3341,0.0056,0.057,16.23,Red,M
61,3432,0.00067,0.19,16.94,Red,M
62,2983,0.00024,0.094,16.09,Red,M
63,2835,0.00034,0.0918,16.96,Red,M
64,2935,0.00014,0.116,18.89,Red,M
65,3295,0.00098,0.132,17.13,Red,M
66,2945,0.00032,0.093,18.34,Red,M
67,2817,0.00098,0.0911,16.45,Red,M
68,2774,0.00036,0.118,17.39,Red,M
69,2871,0.00072,0.12,19.43,Red,M
70,3345,0.021,0.273,12.3,Red,M
71,3607,0.022,0.38,10.12,Red,M
72,3304,0.0085,0.18,13.2,Red,M
73,3150,0.0088,0.35,11.94,Red,M
74,3550,0.004,0.291,10.89,Red,M
75,3180,0.001,0.35,11.76,Red,M
76,2890,0.0034,0.24,13.46,Red,M
77,3342,0.0015,0.307,11.87,Red,M
78,2621,0.0006,0.098,12.81,Red,M
79,3158,0.00135,0.161,13.98,Red,M
80,7100,0.00029,0.012,14.09,White-Yellow,F
81,10574,0.00014,0.0092,12.02,White,F
82,8930,0.00056,0.0095,13.78,white,A
83,17200,0.00098,0.015,12.45,Blue White,B
84,14100,0.00067,0.0089,12.17,Blue White,B
85,9675,0.00045,0.0109,13.98,Blue White,A
86,12010,0.00078,0.0092,12.13,Blue White,B
87,10980,0.00074,0.0087,11.19,Blue White,B
88,13720,0.00018,0.00892,12.97,white,F
89,19860,0.0011,0.0131,11.34,Blue,B
90,5300,0.59,0.91,5.49,yellow-white,F
91,4526,0.153,0.865,6.506,yellowish,K
92,4077,0.085,0.795,6.228,yellowish,K
93,4980,0.357,1.13,4.78,Yellowish,K
94,9030,45,2.63,1.45,Blue-white,A
95,11250,672,6.98,-2.3,Blue-white,A
96,5112,0.63,0.876,4.68,Orange-Red,K
97,7720,7.92,1.34,2.44,yellow-white,F
98,12098,689,7.01,0.02,Blue-white,A
99,36108,198000,10.2,-4.4,Blue,O
100,33300,240000,12,-6.5,Blue,B
101,40000,813000,14,-6.23,Blue,O
102,23000,127000,36,-5.76,Blue,O
103,17120,235000,83,-6.89,Blue,O
104,11096,112000,12,-5.91,Blue,O
105,14245,231000,42,-6.12,Blue,O
106,24630,363000,63,-5.83,Blue,O
107,12893,184000,36,-6.34,Blue,O
108,24345,142000,57,-6.24,Blue,O
109,33421,352000,67,-5.79,Blue,O
110,3459,100000,1289,-10.7,Red,M
111,3605,126000,1124,-10.81,Red,M
112,3615,200000,1635,-11.33,Red,M
113,3399,117000,1486,-10.92,Red,M
114,3610,132000,1522,-10.86,Red,M
115,3553,145000,1324,-11.03,Red,M
116,4015,282000,1534,-11.39,Red,K
117,3625,74000,876,-10.25,Red,M
118,6850,229000,1467,-10.07,Red,G
119,3780,200000,1324,-10.7,Red,M
120,3323,0.00043,0.0912,17.16,Red,M
